Dataset,Dimension,Annotator Pair,Spearman Correlation,Spearman P-value
Perceived Empathy,m_seen,"('experts', 'llm')",0.53,0.000
Perceived Empathy,m_understood,"('experts', 'llm')",0.62,0.000
Perceived Empathy,m_validated,"('experts', 'llm')",0.60,0.000
Empathetic Dialogues,relevance,"('experts', 'llm')",0.51,0.000
RPG,self_oriented,"('experts', 'llm')",0.84,0.000
RPG,validating_emotions,"('experts', 'llm')",0.55,0.000
RPG,advice_giving,"('llm', 'crowd')",0.48,0.000
RPG,demonstrating_understanding,"('llm', 'crowd')",0.42,0.003
RPG,dismissing_emotions,"('llm', 'crowd')",0.26,0.070
Empathetic Dialogues,empathy,"('llm', 'crowd')",0.03,0.844
RPG,encouraging_elaboration,"('llm', 'crowd')",0.69,0.000
Empathetic Dialogues,fluency,"('llm', 'crowd')",0.27,0.057
EPITOME,level_emotional_reactions,"('llm', 'crowd')",0.66,0.000
EPITOME,level_explorations,"('llm', 'crowd')",0.38,0.007
EPITOME,level_interpretations,"('llm', 'crowd')",0.25,0.075
Perceived Empathy,m_accepted,"('llm', 'crowd')",0.40,0.004
Perceived Empathy,m_affirmed,"('llm', 'crowd')",0.43,0.002
Perceived Empathy,m_caredfor,"('llm', 'crowd')",0.35,0.013
Perceived Empathy,m_emotional,"('llm', 'crowd')",0.55,0.000
Perceived Empathy,m_motivation,"('llm', 'crowd')",0.52,0.000
Perceived Empathy,m_practical,"('llm', 'crowd')",0.59,0.000
Perceived Empathy,m_seen,"('llm', 'crowd')",0.43,0.002
Perceived Empathy,m_understood,"('llm', 'crowd')",0.43,0.002
Perceived Empathy,m_validated,"('llm', 'crowd')",0.49,0.000
Empathetic Dialogues,relevance,"('llm', 'crowd')",0.20,0.163
RPG,self_oriented,"('llm', 'crowd')",0.52,0.000
RPG,validating_emotions,"('llm', 'crowd')",0.55,0.000
