Dataset,Dimension,Annotator Pair,Spearman Correlation,Spearman P-value
Perceived Empathy,m_motivation,"('expert3', 'expert1')",0.74,0.000
Perceived Empathy,m_practical,"('expert3', 'expert1')",0.82,0.000
Perceived Empathy,m_seen,"('expert3', 'expert1')",0.56,0.000
Perceived Empathy,m_understood,"('expert3', 'expert1')",0.57,0.000
Perceived Empathy,m_validated,"('expert3', 'expert1')",0.64,0.000
Empathetic Dialogues,relevance,"('expert3', 'expert1')",0.46,0.001
RPG,self_oriented,"('expert3', 'expert1')",0.59,0.000
RPG,validating_emotions,"('expert3', 'expert1')",0.57,0.000
RPG,advice_giving,"('experts', 'crowd')",0.39,0.005
RPG,demonstrating_understanding,"('experts', 'crowd')",0.42,0.003
RPG,dismissing_emotions,"('experts', 'crowd')",0.12,0.396
Empathetic Dialogues,empathy,"('experts', 'crowd')",0.29,0.042
RPG,encouraging_elaboration,"('experts', 'crowd')",0.70,0.000
Empathetic Dialogues,fluency,"('experts', 'crowd')",0.23,0.113
EPITOME,level_emotional_reactions,"('experts', 'crowd')",0.70,0.000
EPITOME,level_explorations,"('experts', 'crowd')",0.68,0.000
EPITOME,level_interpretations,"('experts', 'crowd')",0.43,0.002
Perceived Empathy,m_accepted,"('experts', 'crowd')",0.45,0.001
Perceived Empathy,m_affirmed,"('experts', 'crowd')",0.35,0.012
Perceived Empathy,m_caredfor,"('experts', 'crowd')",0.31,0.029
Perceived Empathy,m_emotional,"('experts', 'crowd')",0.55,0.000
Perceived Empathy,m_motivation,"('experts', 'crowd')",0.37,0.007
Perceived Empathy,m_practical,"('experts', 'crowd')",0.45,0.001
Perceived Empathy,m_seen,"('experts', 'crowd')",0.28,0.047
Perceived Empathy,m_understood,"('experts', 'crowd')",0.32,0.024
Perceived Empathy,m_validated,"('experts', 'crowd')",0.34,0.015
Empathetic Dialogues,relevance,"('experts', 'crowd')",0.37,0.009
RPG,self_oriented,"('experts', 'crowd')",0.43,0.002
RPG,validating_emotions,"('experts', 'crowd')",0.50,0.000
RPG,advice_giving,"('experts', 'llm')",0.85,0.000
RPG,demonstrating_understanding,"('experts', 'llm')",0.51,0.000
RPG,dismissing_emotions,"('experts', 'llm')",0.43,0.002
Empathetic Dialogues,empathy,"('experts', 'llm')",0.64,0.000
RPG,encouraging_elaboration,"('experts', 'llm')",0.86,0.000
Empathetic Dialogues,fluency,"('experts', 'llm')",0.41,0.003
EPITOME,level_emotional_reactions,"('experts', 'llm')",0.69,0.000
EPITOME,level_explorations,"('experts', 'llm')",0.68,0.000
EPITOME,level_interpretations,"('experts', 'llm')",0.62,0.000
Perceived Empathy,m_accepted,"('experts', 'llm')",0.44,0.002
Perceived Empathy,m_affirmed,"('experts', 'llm')",0.64,0.000
Perceived Empathy,m_caredfor,"('experts', 'llm')",0.60,0.000
Perceived Empathy,m_emotional,"('experts', 'llm')",0.76,0.000
Perceived Empathy,m_motivation,"('experts', 'llm')",0.73,0.000
Perceived Empathy,m_practical,"('experts', 'llm')",0.76,0.000
Perceived Empathy,m_seen,"('experts', 'llm')",0.60,0.000
Perceived Empathy,m_understood,"('experts', 'llm')",0.61,0.000
Perceived Empathy,m_validated,"('experts', 'llm')",0.63,0.000
Empathetic Dialogues,relevance,"('experts', 'llm')",0.13,0.358
RPG,self_oriented,"('experts', 'llm')",0.81,0.000
RPG,validating_emotions,"('experts', 'llm')",0.69,0.000
RPG,advice_giving,"('llm', 'crowd')",0.48,0.000
RPG,demonstrating_understanding,"('llm', 'crowd')",0.59,0.000
RPG,dismissing_emotions,"('llm', 'crowd')",0.17,0.228
Empathetic Dialogues,empathy,"('llm', 'crowd')",-0.01,0.930
RPG,encouraging_elaboration,"('llm', 'crowd')",0.61,0.000
Empathetic Dialogues,fluency,"('llm', 'crowd')",0.24,0.088
EPITOME,level_emotional_reactions,"('llm', 'crowd')",0.62,0.000
EPITOME,level_explorations,"('llm', 'crowd')",0.43,0.002
EPITOME,level_interpretations,"('llm', 'crowd')",0.38,0.006
Perceived Empathy,m_accepted,"('llm', 'crowd')",0.23,0.120
Perceived Empathy,m_affirmed,"('llm', 'crowd')",0.27,0.061
Perceived Empathy,m_caredfor,"('llm', 'crowd')",0.27,0.059
Perceived Empathy,m_emotional,"('llm', 'crowd')",0.62,0.000
Perceived Empathy,m_motivation,"('llm', 'crowd')",0.41,0.003
Perceived Empathy,m_practical,"('llm', 'crowd')",0.50,0.000
Perceived Empathy,m_seen,"('llm', 'crowd')",0.26,0.069
Perceived Empathy,m_understood,"('llm', 'crowd')",0.15,0.291
Perceived Empathy,m_validated,"('llm', 'crowd')",0.24,0.094
Empathetic Dialogues,relevance,"('llm', 'crowd')",0.22,0.126
RPG,self_oriented,"('llm', 'crowd')",0.43,0.002
RPG,validating_emotions,"('llm', 'crowd')",0.58,0.000
