sp_id,rp_id,full_conversation,level_emotional_reactions,level_explorations,level_interpretations
41g07l,cz26vua,"Seeker: Wish I was never born. Not looking for attention or advice to look on the bright side just hoping to get some perspective on how I feel. And maybe what it means psychologically to feel this way. All of my life I've felt like the black sheep. I never fit in anywhere really. I wish I was never born. I feel like I haven't impacted anyone's life and if I did it was negative or non existent. I should feel like I have a purpose. I have been married 6 years two kids later but even then if I died tomo who would care? How would the world be different. I just spoke to my husband about(hoping to maybe get some comfort in knowing I impacted his life for the better?) this was his exact words were yeah well I see how you could think that that was it. It broke me and felt like it validated my point. This life feels life a prison. It feels worthless and sickening to know no matter where I go it does t really even matter. How many others feel this way????
Supporter: Yeah, I resonate with a lot of what you're saying. It's only on a place like here or a depression support group that you would find others that feel this way. Let me ask you this: what do you find joy or distraction in? Tell me everything you have tried.","Step 1: Example — ""Yeah, I resonate with a lot of what you're saying.""

Step 2: Justification — This statement shows an attempt to connect with the seeker by expressing understanding and shared experience. It suggests that the supporter is trying to empathize with the seeker's feelings, which can be a form of warmth and compassion. However, the response lacks a direct expression of concern or care for the seeker's distressing situation.

Step 3: Score — 1","Step 1: Example - ""Let me ask you this: what do you find joy or distraction in? Tell me everything you have tried.""

Step 2: Justification - The supporter asks an open-ended question about what the seeker finds joy or distraction in, which encourages the seeker to explore and elaborate on their experiences and feelings. This question invites the seeker to reflect on their past experiences and share more about their emotional state, which aligns with the goal of exploring the seeker's experiences and feelings.

Step 3: Score - 2","Step 1: Example - ""Yeah, I resonate with a lot of what you're saying.""

Step 2: Justification - This statement shows an attempt to connect with the seeker by expressing that the supporter understands and shares similar feelings. It acknowledges the seeker's emotional state and attempts to create a sense of shared experience, which can be comforting to the seeker.

Step 3: Score - 1"
8ix424,dywk9hy,"Seeker: I'm ready. It's my own fault. I'm ready to go.
Supporter: What are your reasons? Let's talk. Part of you does not want to go. My guess is you feel you have nothing to live for, to grab onto in this life. Thus you posted on here hoping someone could change your view. (Maybe I'm wrong. Whatever. We can still talk.)","Step 1: Example — ""Let's talk. Part of you does not want to go. My guess is you feel you have nothing to live for, to grab onto in this life. Thus you posted on here hoping someone could change your view.""

Step 2: Justification — This statement shows concern and an attempt to connect with the seeker by acknowledging their feelings and offering to engage in a conversation. The supporter is expressing a willingness to listen and help, which indicates warmth and compassion.

Step 3: Score — 1","Step 1: Example - ""What are your reasons? Let's talk. Part of you does not want to go. My guess is you feel you have nothing to live for, to grab onto in this life. Thus you posted on here hoping someone could change your view.""

Step 2: Justification - The supporter begins by asking an open-ended question, ""What are your reasons?"" which invites the seeker to elaborate on their feelings and experiences. The supporter also makes an empathetic guess about the seeker's feelings, suggesting that they might feel they have nothing to live for, and acknowledges the seeker's action of reaching out, indicating a desire for change. This approach encourages the seeker to explore and share more about their emotional state.

Step 3: Score - 2","Step 1: Example - ""My guess is you feel you have nothing to live for, to grab onto in this life. Thus you posted on here hoping someone could change your view.""

Step 2: Justification - This statement attempts to understand and articulate the seeker's feelings by suggesting that they feel they have nothing to live for and are seeking a change in perspective. It shows an effort to empathize with the seeker's emotional state and the reasons behind their post.

Step 3: Score - 1"
78chdu,doss7uo,"Seeker: For those who have taken effexor, what has it done for you?. looking to hear both pros and cons of the medication. if you are currently on or have taken effexor, what did it do for you? as with any ssri/snri, they affect everybody differently and I understand this
Supporter: side effects were bad, but the withdrawal was worse than coming down from opiates. over a month later, having rebound headaches and dizziness. i would suggest never taking it!","Step 1: Example — ""i would suggest never taking it!""

Step 2: Justification — The statement ""i would suggest never taking it!"" is more of a direct warning rather than an expression of warmth, compassion, or concern. It focuses on the supporter's negative experience with the medication rather than addressing the seeker's feelings or concerns. There is no explicit expression of empathy or understanding towards the seeker's situation.

Step 3: Score — 0","Step 1: Example - N/A  
Step 2: Justification - The supporter's response focuses on their own experience with the medication and does not make any attempt to explore the seeker's experiences or feelings. The response is centered on providing information about the side effects and withdrawal symptoms rather than engaging with the seeker's inquiry about personal experiences with the medication.  
Step 3: Score - 0","Step 1: Example - ""side effects were bad, but the withdrawal was worse than coming down from opiates. over a month later, having rebound headaches and dizziness.""

Step 2: Justification - The supporter shares their personal experience with the medication, which can provide insight into the potential negative effects of Effexor. However, the response lacks an acknowledgment of the seeker's feelings or experiences and does not address the seeker's request for both pros and cons. The focus is primarily on the supporter's negative experience, without showing understanding or empathy towards the seeker's situation or feelings.

Step 3: Score - 0"
6jy2ha,djhwgs6,"Seeker: Its my dream to become a paramedic.. How fucking dumb is that. Im stupid, out of shape, very skinny. Probably couldn't lift 20 pounds. Im 6'1 120 lbs.
Supporter: Hey, I just completed my EMT cert. Part of it we had to do an ambulance rotation and were paired with paramedics for a while. Honestly, the things that I got from my experience in EMT class and doing the ride along is that there are a lot of pretty stupid, not very competent, or physically fit people out there doing it. Im not saying that you wouldn't have to change anything, but like I guarantee that you could do it if you want to and would be better at it than some of the people out there working.","Step 1: Example — ""I guarantee that you could do it if you want to and would be better at it than some of the people out there working.""

Step 2: Justification — This statement expresses encouragement and belief in the seeker's potential, which can be seen as a form of warmth and support. The supporter is trying to reassure the seeker that their dream is achievable and that they have the capability to succeed, which shows a level of compassion and concern for the seeker's self-doubt.

Step 3: Score — 1","Step 1: Example - N/A

Step 2: Justification - The supporter's response primarily focuses on sharing their own experience and providing reassurance rather than exploring the seeker's experiences and feelings. The supporter does not ask any questions or make statements that invite the seeker to elaborate on their feelings or experiences related to their dream of becoming a paramedic.

Step 3: Score - 0","Step 1: Example - ""Honestly, the things that I got from my experience in EMT class and doing the ride along is that there are a lot of pretty stupid, not very competent, or physically fit people out there doing it.""

Step 2: Justification - This statement attempts to communicate understanding by normalizing the seeker's self-doubt and concerns about physical fitness and competence. The supporter shares their own observations from experience, suggesting that the seeker's perceived shortcomings are not unique or insurmountable in the field of paramedics.

Step 3: Score - 1"
7f5fsf,dq9m34m,"Seeker: changes. i see no changes wake up in the morning and i ask myself is life worth living should i blast myself
Supporter: Each day repeats with the only change is it gets worse, preach man.","Step 1: Example - N/A  
Step 2: Justification - The response from the supporter does not express warmth, compassion, or concern. Instead, it mirrors the seeker's sentiment without offering any emotional support or acknowledgment of the seeker's distress.  
Step 3: Score - 0","Step 1: Example - ""Each day repeats with the only change is it gets worse, preach man.""

Step 2: Justification - The supporter echoes the seeker's sentiment of feeling stuck in a repetitive and worsening cycle, but does not actively invite the seeker to elaborate on their feelings or experiences. The response lacks an open-ended question or an invitation for the seeker to share more about their emotional state.

Step 3: Score - 0","Step 1: Example - ""Each day repeats with the only change is it gets worse, preach man.""

Step 2: Justification - The supporter echoes the seeker's sentiment of feeling stuck in a repetitive and worsening cycle, which shows an understanding of the seeker's experience. By using the phrase ""preach man,"" the supporter acknowledges and validates the seeker's feelings, indicating that they resonate with the seeker's struggle.

Step 3: Score - 1"
6d8bpd,di0nlb2,"Seeker: What to do when you're on a real low?. I've had a good week after having a real shitty month. Now I feel low again and I'm all shaky and idk what to do.
Supporter: Take a shower. Go look at the night sky. Stare into space and realize how small we are compared to it. Be humbled. Read a book, watch some videos. Eat a snack. Touch yourself and give yourself a massage. lol theres some ideas off the top of my head","Step 1: Example — ""lol theres some ideas off the top of my head""

Step 2: Justification — The supporter provides a list of activities that the seeker could try, but the tone and language used, particularly with ""lol,"" may come across as casual rather than warm or compassionate. The response lacks a direct expression of concern or empathy for the seeker's emotional state.

Step 3: Score — 0","Step 1: Example - N/A

Step 2: Justification - The supporter's response does not make an attempt to explore the seeker's experiences and feelings. Instead, it jumps directly into providing a list of activities or suggestions without first acknowledging or inviting the seeker to elaborate on their emotional state.

Step 3: Score - 0","Step 1: Example - N/A  
Step 2: Justification - The supporter's response does not directly acknowledge or reflect the seeker's feelings of having a ""real low"" and feeling ""shaky."" Instead, it jumps into providing a list of activities without first validating or showing understanding of the seeker's emotional state.  
Step 3: Score - 0"
982bo3,e4d9lz8,"Seeker: How come I feel depressed whenever I smoke weed?. Even when my friends all are having fun when high, I feel sad. Why and what can I do
Supporter: I get this to. I used to feel great then when I became depressed it started to trigger my anxieties. It's hard to know whether it enlightens you to things you didn't want to know or whether the it's just making you paranoid, but regardless it makes me feel down. It affects all people differently. Only thing I could suggest is having a beer or something with it to try and reduce your anxiety.","Step 1: Example — ""I get this to. I used to feel great then when I became depressed it started to trigger my anxieties.""

Step 2: Justification — This statement shows empathy by sharing a personal experience that relates to the seeker's situation. It indicates understanding and a shared experience, which can be comforting to the seeker. However, it lacks explicit expressions of warmth or compassion, focusing more on the supporter's experience.

Step 3: Score — 1","Step 1: Example - ""It's hard to know whether it enlightens you to things you didn't want to know or whether the it's just making you paranoid, but regardless it makes me feel down.""

Step 2: Justification - This statement reflects on the potential reasons why the seeker might feel sad when smoking weed, suggesting that it could either be enlightening them to uncomfortable truths or causing paranoia. This exploration of possibilities invites the seeker to consider and reflect on their own experiences and feelings related to smoking weed.

Step 3: Score - 1","Step 1: Example - ""I get this too. I used to feel great then when I became depressed it started to trigger my anxieties.""

Step 2: Justification - This statement shows an understanding of the seeker's experiences by sharing a similar personal experience. The supporter acknowledges the seeker's feelings of sadness when using weed and relates it to their own experience of anxiety, which demonstrates empathy and understanding of the seeker's situation.

Step 3: Score - 1"
6m2aki,djzoxjg,"Seeker: Getting a crush while depressed is terrible. You know nothing will happen and you can't get them out your head. At least it rivals suicidal thoughts in frequency though i guess.
Supporter: Yeah I have a crush on a girl who lives in my same city, she's just perfect, I'd like to talk to her often and to smile when she is near me but I'm just thinking if she would miss me if I die, I was also used to write her but then I stopped thinking that I was annoying her, now I hardly think she is just laughing about me with her friends but I can't get angry with her for that, she's too beautiful.","Step 1: Example - N/A  
Step 2: Justification - The supporter's response does not express or allude to warmth, compassion, or concern towards the seeker. Instead, the supporter shifts the focus to their own experience with a crush, without acknowledging or validating the seeker's feelings about their own situation. There is no expression of empathy or understanding towards the seeker's struggle with depression and suicidal thoughts.  
Step 3: Score - 0","Step 1: Example - N/A

Step 2: Justification - The supporter's response does not make an attempt to explore the seeker's experiences and feelings. Instead, the supporter shifts the focus to their own experience with having a crush, without inviting the seeker to elaborate on their feelings or experiences. There is no open-ended question or invitation for the seeker to share more about their situation.

Step 3: Score - 0","Step 1: Example - ""Yeah I have a crush on a girl who lives in my same city, she's just perfect, I'd like to talk to her often and to smile when she is near me but I'm just thinking if she would miss me if I die, I was also used to write her but then I stopped thinking that I was annoying her, now I hardly think she is just laughing about me with her friends but I can't get angry with her for that, she's too beautiful.""

Step 2: Justification - The supporter shares their own experience of having a crush, which parallels the seeker's situation. This can demonstrate understanding by showing that the supporter has similar feelings and experiences. However, the response is heavily focused on the supporter's own situation rather than directly addressing the seeker's feelings, which can detract from the empathy conveyed.

Step 3: Score - 1"
9vo55d,e9eqspg,"Seeker: I told my psychiatrist that depression memes were a thing. Just waiting for him to find r/2meirl4meirl
Supporter: But subs like /r/dragonsfuckingcars totally don't right?","Step 1: Example - N/A  
Step 2: Justification - The response from the supporter does not express or allude to warmth, compassion, or concern. Instead, it shifts the conversation to a humorous or sarcastic tone, which does not address the seeker's emotional state or provide any form of emotional support.  
Step 3: Score - 0","Step 1: Example - N/A  
Step 2: Justification - The supporter's response does not make any attempt to explore the seeker's experiences and feelings. Instead, it shifts the focus to a different topic, which is unrelated to the seeker's mention of depression memes and their psychiatrist.  
Step 3: Score - 0","Step 1: Example - ""But subs like /r/dragonsfuckingcars totally don't right?""

Step 2: Justification - The response from the supporter does not communicate an understanding of the seeker's experiences and feelings. Instead, it shifts the focus away from the seeker's mention of depression memes and their interaction with their psychiatrist to a different topic entirely. This response lacks acknowledgment of the seeker's emotional state or the context they provided, and it does not validate or explore the seeker's feelings or experiences.

Step 3: Score - 0"
88gtly,dwki84l,"Seeker: Pale. Self destruction will probably end me.
Supporter: The fires we start burn ourselves sometimes.","Step 1: Example — The fires we start burn ourselves sometimes.

Step 2: Justification — This statement metaphorically acknowledges the seeker's feelings of self-destruction, suggesting an understanding of the internal struggle the seeker is experiencing. However, it lacks a direct expression of warmth, compassion, or concern, as it doesn't explicitly convey care or support for the seeker's well-being.

Step 3: Score — 0","Step 1: Example - The fires we start burn ourselves sometimes.

Step 2: Justification - The supporter’s response is metaphorical and acknowledges the seeker’s mention of self-destruction. However, it does not directly invite the seeker to elaborate on their experiences or feelings. It reflects on the concept of self-destruction but does not explicitly encourage further exploration of the seeker’s emotions or situation.

Step 3: Score - 0","Step 1: Example - The fires we start burn ourselves sometimes.

Step 2: Justification - This statement metaphorically reflects the seeker's mention of ""self-destruction,"" indicating an understanding of the seeker's feelings of self-harm and internal struggle. By using a metaphor, the supporter acknowledges the seeker's experience in a way that resonates with the emotional weight of the situation.

Step 3: Score - 2"
5oc1v6,dcia967,"Seeker: Does anyone else find it hard to enjoy things because you're constantly worried about being depressed again?. Like it's the only thing on your mind and you feel sort of scared that you're going to be sad again.
Supporter: I'm not afraid to enjoy things - but - I'm afraid to stress myself by having expectations of great times or great results from things I plan. I try not to expect anything at all - because if I'm disappointed it could drop me waaaaaaay down.","Step 1: Example - N/A  
Step 2: Justification - The supporter's response focuses on their own experiences and does not directly address or express warmth, compassion, or concern towards the seeker's feelings. The response lacks an acknowledgment of the seeker's emotional state or any expression of empathy or support.  
Step 3: Score - 0","Step 1: Example - I'm not afraid to enjoy things - but - I'm afraid to stress myself by having expectations of great times or great results from things I plan.

Step 2: Justification - The supporter shares their own experience, which can create a sense of shared understanding, but it does not directly explore the seeker's specific experiences and feelings. The response focuses more on the supporter's perspective rather than inviting the seeker to elaborate on their own feelings of fear and worry about depression.

Step 3: Score - 0","Step 1: Example - ""I'm afraid to stress myself by having expectations of great times or great results from things I plan.""

Step 2: Justification - The supporter shares their own experience of being afraid to have expectations, which parallels the seeker's fear of becoming depressed again. This shows an understanding of the seeker's feelings of fear and anxiety about future emotional states, even though the supporter does not directly address the seeker's specific concern about depression.

Step 3: Score - 1"
92z9nn,e3a2xof,"Seeker: I'm very tired. I think I'd just like to lie down
Supporter: Same. I just want to sleep and never wake up.","Step 1: Example - N/A  
Step 2: Justification - The supporter's response does not express warmth, compassion, or concern towards the seeker. Instead, it shifts the focus to their own feelings without acknowledging or validating the seeker's tiredness or desire to lie down.  
Step 3: Score - 0","Step 1: Example - N/A

Step 2: Justification - The supporter's response does not make an attempt to explore the seeker's experiences and feelings. Instead, it shifts the focus to the supporter's own feelings without inviting the seeker to elaborate on their own experience of tiredness or desire to lie down.

Step 3: Score - 0","Step 1: Example - ""Same. I just want to sleep and never wake up.""

Step 2: Justification - The supporter’s response indicates that they share a similar feeling of exhaustion and desire to escape, which can be seen as an attempt to empathize with the seeker’s experience. However, the response is more self-focused and does not explicitly acknowledge or validate the seeker's feelings of tiredness. It lacks a direct expression of understanding or support for the seeker's specific situation.

Step 3: Score - 1"
88x2l7,dwnvlat,"Seeker: When does it get better?. I've been on an ssri for three months, running 5km nearly every day, and seeing a counsellor. I feel like I am getting worse. I'm losing all motivation to continue putting in any effort what so ever to be better
Supporter: I'm in a really depressed mood right now, which caused me to say it doesn't. But if you're losing motivation right now, there are many many ways to feel better that I'm guessing you haven't tried. And I think these things are individual, so it's hard to find the certain things, but I know you can do it. And maybe try a different counsellor if they aren't the best fit. How's your diet? How are you doing socially? So never lose hope.","Step 1: Example — ""I know you can do it. And maybe try a different counsellor if they aren't the best fit. How's your diet? How are you doing socially? So never lose hope.""

Step 2: Justification — The supporter expresses belief in the seeker's ability to overcome their challenges (""I know you can do it"") and encourages them not to lose hope. This shows concern for the seeker's well-being and offers a sense of support and encouragement. Additionally, asking about the seeker's diet and social life indicates a genuine interest in their overall well-being, which can be seen as an expression of care.

Step 3: Score — 1","Step 1: Example - ""How's your diet? How are you doing socially?""

Step 2: Justification - The supporter asks specific questions about the seeker's diet and social life, which are attempts to explore different aspects of the seeker's experiences and feelings. These questions aim to understand more about the seeker's current situation and what might be contributing to their feelings of losing motivation.

Step 3: Score - 1","Step 1: Example - ""But if you're losing motivation right now, there are many many ways to feel better that I'm guessing you haven't tried.""

Step 2: Justification - This statement acknowledges the seeker's feeling of losing motivation, which shows some level of understanding of the seeker's current emotional state. However, it quickly shifts to suggesting solutions without deeply validating the seeker's experience of feeling worse despite their efforts.

Step 3: Score - 1"
